Carmen,50
Della,50
(nameless),10
Elaine,45
Faye,35
Gloria,35
Hester,30
Irma,25
Irma(-)1,5
(nameless),80
Judith,50
Judith(-)1,30
(nameless),50
Kitty,30
Lise,40
Madeline,25
(nameless),30
Nelly,30
(nameless),40
(nameless)(-)1,15
(nameless),70
Omilia,25
(nameless),45
Patricia,40
(nameless),50
Rena,30
Allyn,50
Betty,35
Camilla,35
(nameless),20
Doris,40
(nameless),20
Elsie,25
(nameless),45
Grace,40
Flossie,10
(nameless),55
Helene,10
(nameless),110
Ida(1)(2),55
(nameless),45
Ida(3),15
(nameless),45
Jane,35
Kezia,50
(nameless),10
Lucretia_Nancy,35
Missatha,35
(nameless),15
Ossia,45
(nameless),50
Petie,30
(nameless),40
Ruby,35
Clara,60
Billie,30
Delilah,30
Ellen,15
Fran,30
Georgia,40
Hope,40
Iris,70
Joan,45
(nameless),30
Kate,30
(nameless),105
Louise,45
(nameless),80
Marge,60
(nameless),20
Nora,35
(nameless),45
Ora,45
Pat,60
Ruth,45
Sarah,30
Thelma,25
Vera,25
Wanda,40
(nameless),25
Amy,65
Babs,30
Charlotte,25
Dinah,35
(nameless),15
Emma,35
(nameless),10
Freda,25
Gilda,40
Harriet,30
(nameless),15
Jeanne,15
Jeanne(-)1,30
Ivy,15
(nameless),20
Karen,50
(nameless),15
Lois,35
Mary,35
Mary(-)1,5
Nona,30
(nameless),60
Olive,25
(nameless),15
Polly,50
Rose,30
Trix,55
Shirley,15
Vae,30
Wilma,40
Agness,40
Bess,45
Carmen,40
Della,30
Della(-)1,5
Elaine,10
Faye,30
Gloria,30
(nameless),40
Hester,40
Irma,25
Judy,40
(nameless),50
Kit,50
(nameless),30
Lola,30
Mamie,40
Nina,80
(nameless),25
Ophelia,30
Phyllis,25
Rita,45
(nameless),25
Susan,35
Tess,50
(nameless),65
Viola,40
Winnie,25
Alice,50
Betty,35
(nameless),15
Cora,40
(nameless),105
Doris,60
(nameless),25
Elsie,35
(nameless),10
Flossie,25
(nameless),90
Helen,45
Grace,50
Grace(-)1,5
(nameless),55
Ida,30
(nameless),20
Kathy,50
(nameless),20
June,55
(nameless),20
Lorna,50
(nameless),15
Marie,50
(nameless),15
Nancy,30
(nameless),15
Olga,30
(nameless),20
Pamela,50
(nameless),20
Ruby,40
Sally,40
(nameless),20
Tilda,30
(nameless),25
Violet,35
(nameless),25
Wilda,40
Anita,55
Billie,40
(nameless),20
Clara,55
(nameless),15
Dot,20
Ellen,50
(nameless),30
Fran,25
Georgia,30
(nameless),25
Hope,70
(nameless),75
Iris,25
Iris(-)1,5
(nameless),35
Joan,35
(nameless),35
Kate,35
Louise,50
Marge,35
(nameless),50
Nora,40
Opal,35
(nameless),45
Patsy,40
Ruth,25
(nameless),10
Sarah,50
(nameless),25
Thelma,40
(nameless),55
Vera,20
(nameless),35
(nameless)(-)1,5
Wanda,50
Amy,15
(nameless),55
Babs,35
(nameless),30
Charlotte,35
Dinah,35
Emma,40
(nameless),30
Freda,50
Gilda,35
Harriet,40
Ivy,20
(nameless),20
Jean,50
Karen_Lucille,60
(nameless),15
Nadine,15
Olive,20
Polly,15
(nameless),45
Rose,40
Shirley,30
Trix,60
Virginia,45
(nameless),30
Wendy,30
(nameless),15
Agnes,55
(nameless),105
Bess,60
Della,55
Carmen,40
Elaine,30
Gloria,30
Faye,50
Hester,40
Irma,25
(nameless),25
Judy,50
Kit,55
Lola,55
Mamie,30
Ophelia,45
(nameless),10
Phyllis,55
(nameless),40
Rita,25
(nameless),25
Susan,25
Tess,35
Viola,40
Winnie,30
Betty,15
Alice,50
(nameless),20
Doris,35
(nameless),35
Elsie,25
(nameless),25
Flossie,35
(nameless),80
Grace,55
(nameless),60
Helen,45
June,10
Ida,40
(nameless),25
Kathy,35
Lorna,65
Marie,50
Nancy,25
(nameless),15
Pamela,20
Olga,35
(nameless),15
Ruby,15
Sally,55
Tilda,45
Violet,10
Wilda,15
Billie,50
(nameless),15
Ellen,60
Georgia,30
Hope,30
(nameless),10
Iris,20
Kate,15
Joan,30
Joan(-)1,10
Louise,40
Marge,10
Nora,15
Nora(-)1,30
Patsy,25
Sarah,40
Thelma,20
Vera,35
Amy,30
(nameless),10
Babs,25
Charlotte,55
Dinah,45
(nameless),15
Emma,60
(nameless),55
Freda,35
Gilda,40
Harriet,55
Ivy,30
Jean,20
Karen,25
Lucille,40
Nadine,45
Mary,65
Olive,45
(nameless),20
Polly,65
Rose,30
Shirley,40
(nameless),25
Trix,50
Trix(-)1,15
(nameless),30
Virginia,25
Wendy,25
Agnes,25
(nameless),25
Bess,60
Carmen,50
Della,65
Elaine,40
Faye,55
(nameless),30
Gloria,10
Hester,25
Irma,55
(nameless),45
Judy,35
(nameless),15
Kit,60
Lola,40
Mamie,45
Nina,40
(nameless),15
Ophelia,50
Phyllis,40
Rita,30
Susan,15
Tess,50
Alice,35
Betty,50
Betty(-)1,5
(nameless),70
Cora,25
(nameless),40
Doris,30
Doris(-)1,5
(nameless),15
Elsie,40
Flossie,35
Grace,40
Helen,60
Ida,25
June,30
(nameless),20
(nameless)(-)1,10
Kathy,30
(nameless),25
Lorna,40
(nameless),20
Marie,30
(nameless),15
Olga,30
Pamela,40
Nancy,50
Ruby,20
Sally,35
Tilda,55
Violet,40
(nameless),10
Wilda,15
(nameless),15
Anita,10
Billie,50
Clara,25
Dot,40
(nameless),20
Ellen,40
Fran,15
Georgia,55
Hope,55
(nameless),30
Iris,25
Joan,25
(nameless),15
Kate,40
Louise,40
Nora,50
Marge,10
(nameless),10
Opal,60
Patsy,30
Ruth,55
Sarah,50
Thelma,40
Vera,15
Wanda,50
Amy,55
(nameless),30
